"filename", "language", "Lua", "HTML", "JavaScript", "CSS", "JSON", "XML", "vue", "Markdown", "comment", "blank", "total"
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\en.lua", "Lua", 204, 0, 0, 0, 0, 0, 0, 0, 0, 3, 207
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\es.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 2, 200
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\et.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 2, 200
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\fi.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 2, 200
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\fr.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 2, 200
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\it.lua", "Lua", 195, 0, 0, 0, 0, 0, 0, 0, 0, 2, 197
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\lt.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 2, 200
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\nl.lua", "Lua", 195, 0, 0, 0, 0, 0, 0, 0, 0, 1, 196
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\pt-br.lua", "Lua", 207, 0, 0, 0, 0, 0, 0, 0, 0, 3, 210
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\pt.lua", "Lua", 196, 0, 0, 0, 0, 0, 0, 0, 0, 2, 198
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\ro.lua", "Lua", 201, 0, 0, 0, 0, 0, 0, 0, 1, 2, 204
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\sk.lua", "Lua", 195, 0, 0, 0, 0, 0, 0, 0, 0, 2, 197
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\th.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 2, 200
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\locales\tr.lua", "Lua", 198, 0, 0, 0, 0, 0, 0, 0, 0, 1, 199
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-government\server\main.lua", "Lua", 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\client\main.lua", "Lua", 78, 0, 0, 0, 0, 0, 0, 0, 9, 47, 134
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\client\objects.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\config.lua", "Lua", 6, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\fxmanifest.lua", "Lua", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-helicopter\server\main.lua", "Lua", 3, 0, 0, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\interactions.lua", "Lua", 142, 0, 0, 0, 0, 0, 0, 0, 20, 14, 176
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\job.lua", "Lua", 0, 0, 0, 0, 0, 0, 0, 0, 342, 43, 385
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\main.lua", "Lua", 150, 0, 0, 0, 0, 0, 0, 0, 10, 53, 213
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\objects.lua", "Lua", 95, 0, 0, 0, 0, 0, 0, 0, 3, 11, 109
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\sell-customer.lua", "Lua", 195, 0, 0, 0, 0, 0, 0, 0, 29, 83, 307
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\client\transformation.lua", "Lua", 46, 0, 0, 0, 0, 0, 0, 0, 5, 35, 86
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\config.lua", "Lua", 539, 0, 0, 0, 0, 0, 0, 0, 2, 11, 552
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\fxmanifest.lua", "Lua", 33, 0, 0, 0, 0, 0, 0, 0, 2, 6, 41
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\html\index.html", "HTML", 0, 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\html\script.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 5, 15, 54
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\html\style.css", "CSS", 0, 0, 0, 72, 0, 0, 0, 0, 0, 10, 82
"c:\Users\tangu\Desktop\Server\FIVEM\txData\QBCoreFramework_ED3476.base\resources\[PIPOURP]\qb-restaurant\server\main.lua", "Lua", 85, 0, 0, 0, 0, 0, 0, 0, 6, 31, 122
"Total", "-", 11322, 521, 1473, 2313, 1933, 3, 321, 3, 1327, 2661, 21877
